"Ligne1";"Ligne2";"Shape";"Show_on_side";"Source_dataset";"Animation_type";"Image_URL";"Scale"
"Chemin des Prés de la Berne";"1254 Jussy";3;1;3;0;0;1
"Chemin de la Berne";"1217 Meyrin";3;1;3;0;0;1
"Rue de Berne";"1201 Genève";3;1;3;0;0;1
"Rue de Berne";"1202 Genève";3;1;3;0;0;1
"Route de Berne";"1000 Lausanne";3;1;3;0;0;1
"Route de Berne";"1066 Epalinges";3;1;3;0;0;1
"Route de Berne";"1010 Lausanne";3;1;3;0;0;1
"Route de Berne";"1081 Montpreveyres";3;1;3;0;0;1
"Pont de Berne / Bernbrücke";"1702 Fribourg";3;0;3;0;0;1
"Bernstrasse";"3175 Flamatt";3;0;3;0;0;1
"Route de Berne";"3186 Düdingen";3;0;3;0;0;1
"Bernstrasse";"3018 Bümpliz";3;0;3;0;0;1
"Helvetiaplatz";"3003 Bern";3;0;3;0;0;1
"Route de Berne";"1580 Avenches";3;1;3;0;0;1
"Bernstrasse";"3280 Murten";3;1;3;0;0;1
"Bernstrasse";"3210 Kerzers";3;1;3;0;0;1
"Helvetiaplatz";"3003 Bern";3;1;3;0;0;1
"Rue du Petit-Berne";"2035 Corcelles NE";3;0;3;0;0;1
"Route de Berne";"2525 Le Landeron";3;0;3;0;0;1
"Bernstrasse";"3210 Kerzers";3;0;3;0;0;1
"Helvetiaplatz";"3003 Bern";3;0;3;0;0;1
"Bernstrasse";"3052 Zollikofen";3;1;3;0;0;1
"Bernstrasse";"3302 Moosseedorf";3;1;3;0;0;1
"Bernerstrasse";"4143 Dornach";3;1;3;0;0;1
"Bernerstrasse";"8610 Uster";3;1;3;0;0;1
"Bernerstrasse";"5400 Baden";3;1;3;0;0;1
"Bernerstrasse";"8953 Dietikon";3;1;3;0;0;1
"Bernerstrasse";"9450 Altstetten";3;1;3;0;0;1
