Ligne1;Ligne 2;Ligne3;Ligne4;Shape;Show_on_side;Source_dataset;Animation_type;Image_URL;Scale
;;;;6;0;0;1;images/LesSaints.jpg;1
;;;;6;0;0;1;images/Stateless.jpg;1
;;;;6;0;0;1;images/LesPrenomsParticipants.jpg;1
AndrE;;;;6;0;0;1;images/Andre_Matthey_de_lEtang_-_CH-BAR_-_30313932.tif.jpg;1
Christiane;;;;6;0;0;1;images/Marianne_Christiane_Muller_-_CH-BAR_-_30313946.tif.jpg;1
Florian;;;;6;0;0;1;images/Florian_Sarasin_-_CH-BAR_-_30313973.tif.jpg;1
Matthias;;;;6;0;0;1;images/Matthias_Kammerer_-_CH-BAR_-_30313888.tif.jpg;1
Michael;;;;6;0;0;1;images/Michael_Herler_-_CH-BAR_-_30313877.tif.jpg;1
Peter;;;;6;0;0;1;images/Peter_Durand_-_CH-BAR_-_30313858.tif.jpg;1
Stephan;;;;6;0;0;1;images/Alois_Theodorik_Stephan_Maschli_-_CH-BAR_-_30313927.tif.jpg;1
Euphrosin;;;;6;0;0;1;images/Euphrosine_Girard_-_CH-BAR_-_30313867.tif.jpg;1
Friedrich;;;;6;0;0;1;images/Friedrich_Ackermann_-_CH-BAR_-_30313811.tif.jpg;1
Gotlieb;;;;6;0;0;1;images/Gottlieb_Spiess_-_CH-BAR_-_30313992.tif.jpg;1
Magdalena;;;;6;0;0;1;images/Magdalena_Ostertag_-_CH-BAR_-_30313962.tif.jpg;1
Pancratius;;;;6;0;0;1;images/Pancratius_Meyer_-_CH-BAR_-_30313940.tif.jpg;1
Verena;;;;6;0;0;1;images/Verena_Gotz_-_CH-BAR_-_30313869.tif.jpg;1
Walpurga;;;;6;0;0;1;images/Walpurga_Debon_-_CH-BAR_-_30313852.tif.jpg;1
